class	supervoxel_id	root_id	group	side	type	Namiki_name	synonyms	comment	long_tract	soma_location	soma_division	neuropil	neuropilgroup	cluster	confidence_LM_1_5	x	y	z
DN	78888997623095284	720575940634198926	720575940604930481	R	DNge019					g	brain	GNG	GNG	10		124471	79006	5798
DN	80929347674531275	720575940627595772	720575940604727264	L	DNge020					g	brain	GNG	GNG	11		139434	80903	5798
DN	80577641392080337	720575940625642302	720575940604727264	L	DNge020					g	brain	GNG	GNG	11		139993	80341	5798
DN	80507341367299283	720575940618393478	720575940604727264	L	DNge020					g	brain	GNG	GNG	11		139447	80837	5798
DN	80999716485186061	720575940604727264	720575940604727264	L	DNge020					g	brain	GNG	GNG	11		139344	80674	5798
DN	79100103855939284	720575940612427414	720575940604727264	R	DNge020					g	brain	GNG	GNG	11		124398	79238	5798
DN	79100103855923335	720575940632355885	720575940604727264	R	DNge020					g	brain	GNG	GNG	11		124062	78953	5798
DN	79100103855935449	720575940618947956	720575940604727264	R	DNge020					g	brain	GNG	GNG	11		124558	80316	5612
DN	79100103855940584	720575940622332403	720575940604727264	R	DNge020					g	brain	GNG	GNG	11		124133	78915	5798
DN	80507341367498086	720575940614642838	720575940614642838	L	DNge021					g	brain	GNG	GNG	3		139540	80600	5798
DN	79170472600063160	720575940628378440	720575940614642838	R	DNge021					g	brain	GNG	GNG	3		123995	78506	5798
DN	81562528798824232	720575940639634304	720575940615666655	L	DNge022					g	brain	GNG	GNG	11		124468	78715	5798
DN	78043954217756566	720575940615666655	720575940615666655	R	DNge022					g	brain	GNG	GNG	11		139505	80396	5798
DN	81703403860466593	720575940633218444	720575940633218444	L	DNge023					g	brain	GNG	GNG	11		139812	82950	5798
DN	77691904472807055	720575940644542880	720575940633218444	R	DNge023					g	brain	GNG	GNG	11		123902	79442	5798
DN	80436972623156335	720575940645032068	720575940611807795	L	DNge024					g	brain	GNG	GNG	11		139914	80329	5798
DN	80225935042918354	720575940622478349	720575940611807795	L	DNge024					g	brain	GNG	GNG	11		139705	80934	5798
DN	80507341367357909	720575940611807795	720575940611807795	L	DNge024					g	brain	GNG	GNG	11		139558	80808	5798
DN	79240841344261915	720575940621181066	720575940611807795	R	DNge024					g	brain	GNG	GNG	11		124062	79994	5646
DN	79170472600063215	720575940628445169	720575940611807795	R	DNge024					g	brain	GNG	GNG	11		124212	78970	5798
DN	79170472600066927	720575940631035603	720575940611807795	R	DNge024					g	brain	GNG	GNG	11		124340	79187	5798
DN	80436972623309413	720575940632303441	720575940618519454	L	DNge025					g	brain	GNG	GNG	3		139904	80528	5798
DN	78959366367283680	720575940618519454	720575940618519454	R	DNge025					g	brain	GNG	GNG	3		124190	78813	5798
DN	80296166281118981	720575940638989894	720575940628441862	L	DNge026					g	brain	GNG	GNG	15		137751	83217	5798
DN	77832779198863418	720575940628441862	720575940628441862	R	DNge026					g	brain	GNG	GNG	15		124535	78811	5798
DN	81210959955332586	720575940617432065	720575940617432065	L	DNge027					g	brain	GNG	GNG	11		124473	78906	5798
DN	77480729520522563	720575940621319156	720575940617432065	R	DNge027					g	brain	GNG	GNG	11		139259	80593	5798
DN	80436972623115179	720575940614165201	720575940614165201	L	DNge028					g	brain	GNG	GNG	11		139742	80538	5798
DN	78959366367286261	720575940644659236	720575940614165201	R	DNge028					g	brain	GNG	GNG	11		124232	78581	5798
DN	80366741251081745	720575940619077755	720575940614235323	L	DNge029					g	brain	GNG	GNG	11		125664	73306	5801
DN	78536810439270507	720575940614235323	720575940614235323	R	DNge029					g	brain	GNG	GNG	11		139853	80426	5798
DN	80647529234406009	720575940611654570	720575940611654570	L	DNge030					g	brain	multi	multi	16		137386	74399	5798
DN	78958748093708824	720575940639088216	720575940611654570	R	DNge030					g	brain	multi	multi	16		125654	74044	5758
DN	80718584837502789	720575940644653348	720575940640589171	L	DNge031					g	brain	GNG	GNG	11		125677	76284	5798
DN	80787923125548696	720575940640589171	720575940640589171	R	DNge031					g	brain	GNG	GNG	11		136170	76030	5798
DN	80296097561660928	720575940631508598	720575940618663838	L	DNge032					g	brain	GNG_AVLP	AVLP_AMMC_WED	15		136205	75876	5798
DN	78184691773148457	720575940618663838	720575940618663838	R	DNge032					g	brain	GNG_AVLP	AVLP_AMMC_WED	15		125851	76175	5798
DN	81210685345969966	720575940606222014	720575940606222014	L	DNge033					g	brain	GNG_IPS	PS_LAL	16		124907	79281	5798
DN	80436423068748824	720575940624816115	720575940606222014	R	DNge033					g	brain	GNG_IPS	PS_LAL	16		139047	80985	5798
DN	80366672531622008	720575940627419676	720575940612206810	L	DNge034					g	brain	GNG	GNG	12		125456	79594	5798
DN	78959297648225679	720575940612206810	720575940612206810	R	DNge034					g	brain	GNG	GNG	12		139133	80475	5798
DN	81421791377538220	720575940639726141	720575940620298772	L	DNge035					g	brain	GNG	GNG	12		125427	80027	5798
DN	77691698314650384	720575940620298772	720575940620298772	R	DNge035					g	brain	GNG	GNG	12		138986	82548	5798
DN	81210685077883063	720575940627107721	720575940627107721	L	DNge036					g	brain	GNG	GNG	3		125267	79609	5798
DN	77621535594378563	720575940632486969	720575940627107721	R	DNge036					g	brain	GNG	GNG	3		138663	81953	5798
DN	81491747939064839	720575940627826760	720575940608188427	L	DNge037					g	brain	GNG	GNG	12		125492	79732	5798
DN	78607041744761945	720575940608188427	720575940608188427	R	DNge037					g	brain	GNG	GNG	12		138957	80731	5798
DN	81491885377560878	720575940637603038	720575940621313414	L	DNge038					g	brain	GNG	GNG	15		124948	79541	5798
DN	77902735894336731	720575940621313414	720575940621313414	R	DNge038					g	brain	GNG	GNG	15		139046	81154	5798
DN	81773635098089793	720575940621530117	720575940616400470	L	DNge039					g	brain	GNG	GNG	10		138772	82268	5798
DN	77691973124798922	720575940616400470	720575940616400470	R	DNge039					g	brain	GNG	GNG	10		125800	80146	5798
DN	80225797536926421	720575940606607234	720575940606607234	L	DNge040					g	brain	GNG_VES	VES	12		126744	75734	5798
DN	78818422653427700	720575940645352814	720575940606607234	R	DNge040					g	brain	GNG_VES	VES	12		135561	76085	5798
DN	81632828957393995	720575940629240263	720575940622633716	L	DNge041					g	brain	multi	multi	15		126257	80355	5798
DN	78607041744763174	720575940622633716	720575940622633716	R	DNge041					g	brain	multi	multi	15		139387	80230	5798
DN	82055247513728555	720575940613347299	720575940613347299	L	DNge042					g	brain	GNG	GNG	12		138744	81402	5798
DN	77339991964938623	720575940631959097	720575940613347299	R	DNge042					g	brain	GNG	GNG	12		126079	80354	5798
DN	81351285395276374	720575940634428058	720575940622147873	L	DNge043					g	brain	IPS_SPS	PS_LAL	6		137104	82340	5798
DN	79099897898895172	720575940622147873	720575940622147873	R	DNge043					g	brain	IPS_SPS	PS_LAL	6		126816	80794	5798
DN	79592479175106403	720575940617792069	720575940617792069	L	DNge044					g	brain	GNG	GNG	10		137801	83097	5798
DN	79732873066045446	720575940623137212	720575940617792069	R	DNge044					g	brain	GNG	GNG	10		126824	81088	5798
DN	80788679039581695	720575940634825879	720575940612366322	L	DNge045					g	brain	GNG	GNG	6		138189	82619	5798
DN	79240360509344191	720575940612366322	720575940612366322	R	DNge045					g	brain	GNG	GNG	6		126335	80731	5798
DN	81351628858933200	720575940622027222	720575940620714150	L	DNge046					g	brain	GNG	GNG	12		126280	80885	5798
DN	79874160242993436	720575940620714150	720575940620714150	L	DNge046					g	brain	GNG	GNG	12		126405	81023	5798
DN	79099966618077308	720575940644758308	720575940620714150	R	DNge046					g	brain	GNG	GNG	12		148487	84673	4848
DN	78325704206979984	720575940630291767	720575940620714150	R	DNge046					g	brain	GNG	GNG	12		138488	83056	5798
DN	79874160175858645	720575940622565590	720575940614342038	L	DNge047					g	brain	multi	multi	15		136883	82445	5798
DN	79592616546825416	720575940614342038	720575940614342038	R	DNge047					g	brain	multi	multi	15		126423	80618	5798
DN	81491748005810212	720575940609376707	720575940609376707	L	DNge048					g	brain	GNG	GNG	15		126633	80916	5798
DN	78465617195653038	720575940617399257	720575940609376707	R	DNge048					g	brain	GNG	GNG	15		137231	82777	5798
DN	81492091402250989	720575940620082512	720575940620082512	L	DNge049					g	brain	GNG	GNG	15		126002	80815	5798
DN	77762067058737670	720575940628360723	720575940620082512	R	DNge049					g	brain	GNG	GNG	15		138298	82929	5798
DN	81703266353914653	720575940647586948	720575940611813842	L	DNge050					g	brain	GNG_SAD	GNG	12		126278	80799	5798
DN	78043404730272743	720575940611813842	720575940611813842	R	DNge050					g	brain	GNG_SAD	GNG	12		139175	83067	5798
DN	81562391561234029	720575940649829241	720575940610677828	L	DNge051					g	brain	GNG	GNG	11		126816	81366	5798
DN	77691835753653112	720575940610677828	720575940610677828	R	DNge051					g	brain	GNG	GNG	11		138693	81527	5798
DN	79803722712193847	720575940620859630	720575940620859630	L	DNge052					g	brain	GNG	GNG	16		126271	81103	5798
DN	79663053943792537	720575940637659749	720575940620859630	R	DNge052					g	brain	GNG	GNG	16		138341	83274	5798
DN	81492160054765713	720575940630135084	720575940630135084	L	DNge053					g	brain	multi	multi	16		126117	80806	5798
DN	77973516687121034	720575940638204132	720575940630135084	R	DNge053					g	brain	multi	multi	16		136247	81831	5798
DN	81281191327910400	720575940622161366	720575940620541099	L	DNge054					g	brain	multi	multi	10		135675	81694	5798
DN	77903216729856972	720575940620541099	720575940620541099	R	DNge054					g	brain	multi	multi	10		126833	81702	5798
DN	81633035048738764	720575940624986300	720575940623918121	L	DNge055					g	brain	GNG	GNG	3		137581	84575	5798
DN	77480729386715036	720575940623918121	720575940623918121	R	DNge055					g	brain	GNG	GNG	3		125881	82136	5799
DN	81070359973373856	720575940632960813	720575940626672058	L	DNge056					g	brain	GNG	GNG	3		126305	82158	5798
